name,salary_from,salary_to,currency,area_name,published_at
Менеджер проектов,24200,,RUR,Сызрань,2022-12-15T08:53:00+0300
Оператор станков с программным управлением,45000,,RUR,Конаково,2022-12-15T08:55:43+0300
Software разработчик (Python Desktop),,,,,2022-12-15T08:34:11+0300
Ведущий инженер (сетевые технологии),,,,,2022-12-15T08:17:10+0300
Токарь-расточник (сварочное производство),50000,100000,RUR,Екатеринбург,2022-12-15T08:01:11+0300
Руководитель отдела технической поддержки,,,,Екатеринбург,2022-12-15T08:16:52+0300
Главный механик дробильного оборудования,80000,,RUR,,2022-12-15T08:38:34+0300
Токарь-фрезеровщик,60000,100000,RUR,,2022-12-15T08:34:35+0300
Электромеханик связи,,1250,BYR,Минск,2022-12-15T08:58:01+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:51:31+0300
Инженер-наладчик КИПиА,70000,70000,RUR,,2022-12-15T08:53:34+0300
Архитектор проекта,,,,Тольятти,2022-12-15T08:27:58+0300
Старший механик комплекса по производству компонентов взрывчатых веществ «участок Березовский»,96500,,RUR,,2022-12-15T08:16:59+0300
"CPO (Директор по продукту, уровень C-level)",300000,,RUR,,2022-12-15T08:09:25+0300
Senior/Lead C# developer,,300000,RUR,,2022-12-15T08:49:26+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:51:31+0300
Инженер 2 категории,,53500,RUR,,2022-12-15T08:01:39+0300
Технический писатель,60000,,RUR,Москва,2022-12-15T08:51:17+0300
Ведущий инженер КИПиА,90000,117000,RUR,,2022-12-15T08:15:55+0300
Инженер по гарантии,45000,60000,RUR,Тула,2022-12-15T08:34:25+0300
Теплотехник,30000,,RUR,Котельнич,2022-12-15T08:01:58+0300
Механик-наладчик производственного оборудования,40000,45000,RUR,Волгоград,2022-12-15T08:11:35+0300
Инженер Отдела мониторинга PS/CS-core и платформ Службы Центра управления сетью,,,,,2022-12-15T08:51:07+0300
Инженер-механик,,75400,RUR,,2022-12-15T08:44:26+0300
Специалист по внедрению информационных систем,15279,25000,RUR,Сызрань,2022-12-15T08:53:00+0300
"Веб-программист 1c-Bitrix, Bitrix24",150000,,RUR,Тюмень,2022-12-15T08:41:09+0300
Главный специалист по информационной безопасности,,90000,RUR,Москва,2022-12-15T08:51:17+0300
